REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R018,ROOSEVELT AVE/JACKSON HTS     ,86595,7514,1384,3520,41,74586,97645,0,0,0,80,618,2192,46,6986,1307,1479,0,1059,0,0,0,8397,0,690,0,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,28686,1856,400,1032,5,19760,25274,0,0,0,52,648,819,14,2705,594,293,0,219,0,0,0,3538,0,364,0,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,142116,8430,514,1352,647,44305,90421,0,0,0,544,4156,1214,636,16905,6422,2838,0,1968,0,0,0,2066,0,153,0,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,88012,4131,425,1112,128,33405,71453,0,0,0,636,2803,635,75,11229,3733,2130,1,1287,0,0,0,1961,0,179,0,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,161445,8341,763,2051,695,67967,110936,0,0,0,789,2597,1913,791,13517,4972,2854,0,2856,0,0,0,3654,0,493,0,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,141700,6262,571,1420,532,39322,84884,0,0,0,277,3120,1437,608,9475,5569,2572,0,1810,0,0,0,2438,0,218,0,                                                                                                    
R024,SUTPHIN BOULEVARD             ,41473,2292,415,751,328,29390,19916,0,1,0,51,312,989,341,1838,818,265,0,8901,0,0,0,2399,0,384,0,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,44869,2042,775,1462,17,48155,31445,0,0,0,72,354,1588,27,4315,547,413,0,348,0,0,0,5784,0,892,0,                                                                                                    
R027,WALL STREET                   ,57955,2628,122,487,884,13033,38501,0,0,0,142,1056,243,1537,5682,2675,1229,0,844,0,0,0,1370,0,58,0,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,59171,3807,354,1163,373,20973,47605,0,0,0,178,1112,455,601,8166,2220,1390,0,1002,0,0,0,2572,0,176,0,                                                                                                    
