UNIT,STATION,REMOTE, STATION,Station ID
R298,NORTHERN BLVD,R298,NORTHERN BLVD-BROADWAY        ,269
R267,46 ST,R267,46TH STREET-BROADWAY          ,270
R238,STEINWAY ST,R238,STEINWAY ST-BROADWAY          ,271
R339,36 ST,R339,36TH STREET-NORTHERN BLVD     ,272
R140,QUEENS PLAZA,R140,QUEENS PLAZA-JACKSON AVE      ,273
R359,COURT SQ-23 ST,R359,COURT SQ-23 ST                ,274
R017,LEXINGTON AV/53,R017,LEXINGTON AVENUE              ,275
R016,LEXINGTON AV/53,R016,LEXINGTON AVENUE              ,275
R015,5 AV/53 ST,R015,FIFTH AVENUE                  ,276
R113,7 AV,R113,SEVENTH AVENUE & WEST 53RD    ,277
R536,JFK JAMAICA CT1,R536,AIRTRAIN JAMAICA CENTER 1     ,278
R025,JAMAICA CENTER,R025,JAMAICA CENTER-PARSONS BLVD   ,278
R024,SUTPHIN-ARCHER,R024,SUTPHIN BOULEVARD             ,279
R342,JAMAICA VAN WK,R342,VAN WYCK BLVD-METROPOLITAN    ,280
R359,COURT SQ,R359,COURT SQ-23 ST                ,281
R360,21 ST,R360,21ST STREET-JACKSON AVENUE    ,282
R239,GREENPOINT AV,R239,GREENPOINT AVE                ,283
R256,NASSAU AV,R256,NASSAU AVE-MANHATTAN AVE      ,284
R268,METROPOLITAN AV,R268,METROPOLITAN AVE-LORIMER ST   ,285
R299,BROADWAY,R299,BROADWAY - UNION AVENUE       ,286
R316,FLUSHING AV,R316,FLUSHING AVENUE-MARCY AVE     ,287
R286,MYRTLE-WILLOUGH,R286,MYRTLE AVENUE-MARCY AVENUE    ,288
R269,BEDFORD-NOSTRAN,R269,BEDFORD AVENUE-NOSTRAND AVE   ,289
R287,CLASSON AV,R287,CLASSON AVENUE-LAFAYETTE AV   ,290
R317,CLINTON-WASH AV,R317,LAFAYETTE AV-WASHINGTON AV    ,291
R117,V.CORTLANDT PK,R117,242ND STREET & BROADWAY       ,293
R306,238 ST,R306,238TH STREET-BROADWAY         ,294
R040,231 ST,R040,231ST STREET                  ,295
R039,MARBLE HILL-225,R039,225TH STREET                  ,296
R038,215 ST,R038,215TH STREET                  ,297
R037,207 ST,R037,207TH STREET                  ,298
